7 NN, DistalPhalanxOutlineAgeGroup, 0.697841726618705
8 NN, DistalPhalanxOutlineAgeGroup, 0.6690647482014388
9 NN, DistalPhalanxOutlineAgeGroup, 0.697841726618705
1 NN, DistalPhalanxTW, 0.6330935251798561
3 NN, DistalPhalanxTW, 0.6115107913669064
4 NN, DistalPhalanxTW, 0.6115107913669064
5 NN, DistalPhalanxTW, 0.6546762589928058
6 NN, DistalPhalanxTW, 0.6474820143884892
7 NN, DistalPhalanxTW, 0.6402877697841727
8 NN, DistalPhalanxTW, 0.6546762589928058
9 NN, DistalPhalanxTW, 0.6546762589928058
1 NN, Earthquakes, 0.7122302158273381
3 NN, Earthquakes, 0.697841726618705
4 NN, Earthquakes, 0.7122302158273381
5 NN, Earthquakes, 0.7266187050359713
6 NN, Earthquakes, 0.7122302158273381
7 NN, Earthquakes, 0.7338129496402878
8 NN, Earthquakes, 0.7410071942446043
9 NN, Earthquakes, 0.7338129496402878
1 NN, ECG200, 0.88
3 NN, ECG200, 0.9
4 NN, ECG200, 0.91
5 NN, ECG200, 0.9
6 NN, ECG200, 0.9
7 NN, ECG200, 0.89
8 NN, ECG200, 0.89
9 NN, ECG200, 0.86
1 NN, ECG5000, 0.9248888888888889
3 NN, ECG5000, 0.936
4 NN, ECG5000, 0.9364444444444444
5 NN, ECG5000, 0.9395555555555556
6 NN, ECG5000, 0.9402222222222222
7 NN, ECG5000, 0.9395555555555556
8 NN, ECG5000, 0.9388888888888889
9 NN, ECG5000, 0.9391111111111111
1 NN, ECGFiveDays, 0.7967479674796748
3 NN, ECGFiveDays, 0.7398373983739838
4 NN, ECGFiveDays, 0.7688734030197445
5 NN, ECGFiveDays, 0.6120789779326364
6 NN, ECGFiveDays, 0.6376306620209059
7 NN, ECGFiveDays, 0.5842044134727061
8 NN, ECGFiveDays, 0.6085946573751452
9 NN, ECGFiveDays, 0.5249709639953543
1 NN, FaceAll, 0.7136094674556213
3 NN, FaceAll, 0.6976331360946746
4 NN, FaceAll, 0.6946745562130178
5 NN, FaceAll, 0.6674556213017752
6 NN, FaceAll, 0.6668639053254438
7 NN, FaceAll, 0.6473372781065089
